episode,timestep,reward
97,1000,-43.1593
4,2000,-1.8671
39,3000,-2.6095
17,4000,-5.0462
38,5000,-3.3593
36,6000,-3.774
77,7000,-2.7594
3,8000,-3.9473
28,9000,-2.2963
45,10000,-2.5247
3,11000,-2.342
233,12000,-3.7002
12,13000,-3.5089
37,14000,-2.8296
12,15000,-3.3794
135,16000,-3.6847
58,17000,-3.5123
8,18000,-3.5684
5,19000,-4.8136
33,20000,-3.7478
65,21000,-3.6098
27,22000,-3.5899
3,23000,-3.7808
7,24000,-4.4577
47,25000,-3.8607
17,26000,-3.3976
40,27000,-3.7664
13,28000,-4.5033
44,29000,-3.436
36,30000,-4.2872
19,31000,-4.4238
1,32000,-4.2742
179,33000,-3.7438
42,34000,-4.5341
43,35000,-3.3381
3,36000,-4.3341
3,37000,-5.1484
5,38000,-4.4029
2,39000,-5.5607
40,40000,-4.1236
35,41000,-3.6276
8,42000,-4.6432
63,43000,-4.539
35,44000,-4.9175
7,45000,-5.3836
64,46000,-4.0654
15,47000,-4.5203
5,48000,-4.3662
34,49000,-3.4132
32,50000,-3.3909
10,51000,-4.0929
105,52000,-4.0985
52,53000,-3.3497
82,54000,-2.1977
58,55000,-4.5195
11,56000,-2.7476
13,57000,-3.5551
73,58000,-4.3809
4,59000,-4.382
8,61000,-4.164
5,62000,-4.41
19,63000,-4.9042
61,64000,-5.2724
3,65000,-6.3382
35,66000,-7.9663
13,67000,-7.0252
25,68000,-6.732
25,69000,-6.6988
27,70000,-5.5181
36,71000,-6.3541
9,72000,-4.1899
3,73000,-4.4063
19,74000,-4.611
=======
10,1000,-330.6854
13,2000,-58.5991
>>>>>>> e1efaaa9be7ca01c9799acfe0bff37b3ffbbf627
