Wall time,Step,Value
1629426675.64466,201,144.0277862548828
1629426837.655938,402,137.47695922851562
1629427005.587439,603,184.84617614746094
1629427175.215172,804,150.532958984375
1629427344.53536,1005,200.0423583984375
1629427516.137964,1206,178.33651733398438
1629427686.406823,1407,196.0237274169922
1629427856.169988,1608,156.14801025390625
1629428024.45965,1809,200.44320678710938
1629428194.283254,2010,196.5623321533203
1629428364.246902,2211,156.92437744140625
1629428533.782912,2412,197.87330627441406
1629428703.192652,2613,178.80284118652344
1629428873.451992,2814,160.60549926757812
1629429043.824341,3015,155.26515197753906
1629429214.04957,3216,159.8577880859375
1629429370.887283,3417,-201.93128967285156
1629429506.744741,3618,155.4219207763672
1629429643.530831,3819,149.27696228027344
1629429780.241704,4020,190.59193420410156
1629429915.752375,4221,162.09169006347656
1629430055.811579,4422,152.65359497070312
1629430194.87104,4623,197.8595428466797
1629430360.251339,4824,196.5089569091797
1629430527.882708,5025,150.86883544921875
1629430697.278152,5226,160.91014099121094
1629430866.854973,5427,131.10890197753906
1629431034.239273,5628,160.083984375
1629431202.44138,5829,-202.2863006591797
1629431371.339489,6030,-201.90753173828125
1629431540.588303,6231,135.07342529296875
1629431708.095465,6432,198.17727661132812
1629431877.438512,6633,168.45314025878906
1629432046.77095,6834,161.22518920898438
1629432215.945351,7035,192.61614990234375
1629432385.685306,7236,133.8812255859375
1629432554.847358,7437,197.8339385986328
1629432724.002256,7638,199.957763671875
1629432892.968694,7839,189.9940643310547
1629433061.235678,8040,196.15785217285156
1629433230.794501,8241,194.3475799560547
1629433397.836414,8442,181.7265625
1629433565.548422,8643,-202.02554321289062
1629433734.617291,8844,167.1626434326172
1629433902.8558,9045,200.22239685058594
1629434071.380516,9246,155.5899200439453
1629434240.494829,9447,199.62913513183594
1629434410.111385,9648,179.677734375
1629434580.230925,9849,-202.04222106933594
1629434750.130711,10050,140.52430725097656
1629434918.178345,10251,181.1151580810547
1629435085.958672,10452,198.4732666015625
1629435254.29843,10653,184.62200927734375
1629435423.299329,10854,162.89295959472656
1629435591.964399,11055,165.73291015625
1629435761.44307,11256,161.61802673339844
1629435929.181522,11457,169.30812072753906
1629436098.309061,11658,-201.8577423095703
1629436266.526352,11859,193.93844604492188
1629436433.8698,12060,-201.8490447998047
1629436601.538888,12261,157.74517822265625
1629436771.18981,12462,155.5368194580078
1629436939.574743,12663,184.61541748046875
1629437108.62433,12864,-201.83917236328125
1629437276.806292,13065,199.34226989746094
1629437445.684904,13266,180.7015380859375
1629437614.808478,13467,161.1875
1629437783.15573,13668,153.82142639160156
1629437950.718803,13869,178.46751403808594
1629438119.001465,14070,200.51528930664062
1629438291.013044,14271,187.2694091796875
1629438461.484369,14472,162.45872497558594
1629438631.972743,14673,174.40313720703125
1629438804.103718,14874,167.3602294921875
1629438975.484531,15075,193.06588745117188
1629439144.433117,15276,194.20816040039062
1629439314.368404,15477,192.8111114501953
1629439484.03492,15678,137.80210876464844
1629439652.178099,15879,169.95547485351562
1629439823.23853,16080,166.24066162109375
1629439995.20695,16281,141.78622436523438
1629440167.698858,16482,195.1943359375
1629440338.05115,16683,192.416015625
1629440510.255517,16884,191.05368041992188
1629440681.071353,17085,188.41815185546875
1629440852.381741,17286,127.57249450683594
1629441021.574528,17487,134.58807373046875
1629441193.408214,17688,199.26333618164062
1629441363.350985,17889,189.9089813232422
1629441533.005843,18090,-202.08604431152344
1629441702.104381,18291,181.8833770751953
1629441870.896738,18492,194.97235107421875
1629442041.561198,18693,178.86671447753906
1629442212.33609,18894,199.3782958984375
1629442383.601253,19095,150.89109802246094
1629442554.19986,19296,152.4081268310547
1629442725.705269,19497,170.7715301513672
1629442894.355641,19698,176.31793212890625
1629443063.056177,19899,200.56532287597656
1629443234.490046,20100,193.07489013671875
