episode,timestep,reward
9,1000,-10562.8398
20,2000,-8968.9036
39,3000,-5636.3639
57,4000,-5497.4895
81,5000,-4409.8516
104,6000,-4459.0587
130,7000,-3845.5935
156,8000,-4024.7054
186,9000,-3445.4636
215,10000,-3500.8228
249,11000,-3042.9518
282,12000,-3176.1836
317,13000,-2926.2949
352,14000,-2935.5823
389,15000,-2798.2746
427,16000,-2739.5072
468,17000,-2591.8422
508,18000,-2585.4857
550,19000,-2504.0081
590,20000,-2572.0899
632,21000,-2486.5111
673,22000,-2533.9906
715,23000,-2517.6642
757,24000,-2508.5925
798,25000,-2541.5407
838,26000,-2553.0461
880,27000,-2531.1122
921,28000,-2514.1788
963,29000,-2478.7729
1006,30000,-2446.357
1047,31000,-2535.19
1088,32000,-2528.1818
1130,33000,-2530.0553
1172,34000,-2485.7617
1213,35000,-2547.1622
1254,36000,-2515.3877
1296,37000,-2501.1448
1338,38000,-2497.6993
1380,39000,-2482.5567
1421,40000,-2540.2942
1463,41000,-2481.8372
1504,42000,-2537.5929
1546,43000,-2488.8945
1587,44000,-2529.0049
1629,45000,-2495.687
1672,46000,-2456.0218
1713,47000,-2528.3898
1755,48000,-2488.7424
1796,49000,-2517.1507
1837,50000,-2521.3071
1879,51000,-2524.564
1920,52000,-2523.1611
1961,53000,-2532.1462
2003,54000,-2509.8334
2044,55000,-2568.5729
2085,56000,-2545.8692
2127,57000,-2456.875
2169,58000,-2501.5756
2210,59000,-2511.2662
2252,60000,-2492.3206
2294,61000,-2501.9962
2335,62000,-2530.5694
2376,63000,-2538.6895
2418,64000,-2512.0352
2459,65000,-2503.4226
2502,66000,-2467.0073
2543,67000,-2515.6066
2585,68000,-2520.4319
2627,69000,-2472.8155
2668,70000,-2559.1355
2709,71000,-2485.548
2752,72000,-2480.2416
2793,73000,-2551.7059
2835,74000,-2473.2632
2877,75000,-2458.5521
2919,76000,-2488.3425
2961,77000,-2498.6835
3003,78000,-2489.2729
3044,79000,-2508.4616
3086,80000,-2495.2274
3128,81000,-2481.9463
3171,82000,-2460.0738
3213,83000,-2481.1018
3255,84000,-2499.6205
3297,85000,-2487.6878
3338,86000,-2502.9879
3380,87000,-2507.2429
3421,88000,-2540.8793
3462,89000,-2541.5334
3504,90000,-2504.4895
3545,91000,-2516.2553
3587,92000,-2487.8846
3629,93000,-2488.6511
3671,94000,-2517.7424
3711,95000,-2579.4397
3753,96000,-2467.5893
3795,97000,-2482.2912
3837,98000,-2504.9247
3878,99000,-2523.8763
3920,100000,-2513.7138
3961,101000,-2525.4953
4004,102000,-2462.7989
4046,103000,-2473.6395
4088,104000,-2500.5453
4128,105000,-2549.395
4170,106000,-2527.9809
4211,107000,-2502.2996
4253,108000,-2512.2016
4294,109000,-2553.4075
4336,110000,-2465.6231
4377,111000,-2541.5524
4418,112000,-2530.7366
4460,113000,-2484.8147
4503,114000,-2467.7027
4544,115000,-2504.3599
4585,116000,-2531.0717
4626,117000,-2565.1502
4668,118000,-2495.941
4710,119000,-2506.9631
4751,120000,-2503.0457
4793,121000,-2512.179
4834,122000,-2525.2463
4876,123000,-2497.4131
4918,124000,-2498.1325
4960,125000,-2480.9629
5002,126000,-2504.6565
5043,127000,-2529.4055
5084,128000,-2516.4877
5126,129000,-2533.9226
5167,130000,-2536.4582
5209,131000,-2492.6354
5250,132000,-2526.8724
5291,133000,-2530.8945
5333,134000,-2482.1348
5375,135000,-2509.4082
5416,136000,-2553.7098
5458,137000,-2467.8697
5500,138000,-2500.6734
5541,139000,-2515.8671
5584,140000,-2456.325
5625,141000,-2492.3888
5667,142000,-2504.6421
5709,143000,-2476.3763
5750,144000,-2540.5365
5792,145000,-2514.7673
5834,146000,-2492.2815
5875,147000,-2517.0291
5917,148000,-2504.2262
5958,149000,-2514.9292
6001,150000,-2477.6249
6042,151000,-2531.4034
6083,152000,-2545.9795
6125,153000,-2468.7633
6166,154000,-2538.1416
6209,155000,-2449.8616
6251,156000,-2496.4757
6292,157000,-2499.9672
6334,158000,-2483.0519
6376,159000,-2510.725
6417,160000,-2516.7056
6459,161000,-2511.8139
6500,162000,-2555.2943
6541,163000,-2515.0397
6583,164000,-2516.2595
6624,165000,-2512.4192
6666,166000,-2520.3645
6708,167000,-2462.2629
6749,168000,-2520.1414
6792,169000,-2478.5936
6833,170000,-2512.3986
6874,171000,-2531.1845
6916,172000,-2524.1583
6958,173000,-2490.2936
7000,174000,-2485.0842
7041,175000,-2540.0319
7082,176000,-2501.9296
7124,177000,-2497.8131
7165,178000,-2540.0573
7207,179000,-2512.5356
7248,180000,-2506.5974
7290,181000,-2505.9379
7332,182000,-2498.7355
7374,183000,-2500.7944
7415,184000,-2499.8304
7456,185000,-2559.9835
7497,186000,-2532.4719
7539,187000,-2475.7502
7581,188000,-2530.7947
7622,189000,-2540.901
7663,190000,-2494.7974
7705,191000,-2519.2584
7747,192000,-2507.4465
7788,193000,-2507.9837
7829,194000,-2555.6078
7871,195000,-2461.9504
7912,196000,-2548.3737
7953,197000,-2560.7173
7994,198000,-2529.3753
8035,199000,-2552.515
8077,200000,-2493.0492
8119,201000,-2496.0814
8161,202000,-2495.862
8202,203000,-2517.0696
8243,204000,-2535.1696
8285,205000,-2502.0954
8326,206000,-2525.3989
8368,207000,-2492.7366
8409,208000,-2558.7743
8451,209000,-2491.0832
8493,210000,-2500.7554
8534,211000,-2506.6681
8575,212000,-2517.5589
8618,213000,-2465.2136
8659,214000,-2545.0867
8700,215000,-2544.8245
8741,216000,-2546.1266
8782,217000,-2514.8907
8824,218000,-2494.1753
8865,219000,-2578.1989
8907,220000,-2487.4604
8949,221000,-2483.2979
8990,222000,-2523.2345
9031,223000,-2548.9983
9072,224000,-2512.3951
9114,225000,-2498.8033
9155,226000,-2526.4572
9197,227000,-2501.3689
9239,228000,-2488.3346
9281,229000,-2507.0902
9322,230000,-2545.7998
9363,231000,-2495.1008
9404,232000,-2577.3397
9446,233000,-2499.2157
9487,234000,-2517.3634
9529,235000,-2522.178
9571,236000,-2462.8306
9613,237000,-2467.7644
9655,238000,-2483.2325
9697,239000,-2524.8234
9739,240000,-2493.5886
9781,241000,-2487.4933
9822,242000,-2494.679
9863,243000,-2539.7829
9906,244000,-2479.1264
9947,245000,-2541.6268
9988,246000,-2496.9525
10030,247000,-2533.6713
10071,248000,-2493.3183
10114,249000,-2466.6752
10155,250000,-2502.7087
10197,251000,-2496.464
10239,252000,-2497.347
10281,253000,-2515.9568
10322,254000,-2511.9662
10364,255000,-2465.2271
10406,256000,-2488.115
10448,257000,-2500.0124
10490,258000,-2495.928
10531,259000,-2531.3518
10573,260000,-2512.7198
10614,261000,-2541.5683
10656,262000,-2494.8326
10697,263000,-2529.808
10738,264000,-2522.5791
10780,265000,-2506.4815
10822,266000,-2496.7845
10863,267000,-2503.3696
10905,268000,-2509.0122
10948,269000,-2448.9138
10989,270000,-2524.5555
11031,271000,-2479.0466
11073,272000,-2504.965
11114,273000,-2530.2847
11155,274000,-2533.7731
11196,275000,-2553.4511
11238,276000,-2505.3297
11279,277000,-2509.4911
11321,278000,-2511.0009
11362,279000,-2501.4011
11404,280000,-2529.8551
11446,281000,-2496.3777
11487,282000,-2504.3224
11529,283000,-2478.58
11571,284000,-2510.6685
11613,285000,-2485.039
11655,286000,-2504.656
11696,287000,-2498.736
11739,288000,-2458.3485
11781,289000,-2471.3315
11824,290000,-2460.0414
11866,291000,-2464.2775
11907,292000,-2517.5398
11949,293000,-2503.6242
11990,294000,-2531.3593
12032,295000,-2507.3753
12074,296000,-2488.1435
12115,297000,-2514.8433
12156,298000,-2532.5883
12199,299000,-2482.6285
12240,300000,-2539.394
12282,301000,-2469.2567
12323,302000,-2516.8449
12365,303000,-2509.7567
12407,304000,-2503.7665
12449,305000,-2490.5462
12490,306000,-2496.9715
12532,307000,-2533.5416
12573,308000,-2526.2388
12615,309000,-2488.6802
12656,310000,-2500.9228
12699,311000,-2483.7798
12740,312000,-2539.5986
12782,313000,-2490.4145
12824,314000,-2486.3838
12866,315000,-2449.7654
12908,316000,-2506.0774
12949,317000,-2533.0865
12990,318000,-2522.0376
13031,319000,-2556.5899
13073,320000,-2514.9627
13114,321000,-2537.24
13155,322000,-2518.4412
13196,323000,-2524.1952
13238,324000,-2495.3233
13280,325000,-2502.917
13322,326000,-2515.7497
13363,327000,-2533.3214
13404,328000,-2521.9059
13446,329000,-2496.8673
13488,330000,-2502.0443
13529,331000,-2514.7986
13571,332000,-2495.2027
13613,333000,-2487.8799
13654,334000,-2546.8552
13695,335000,-2511.0592
13738,336000,-2477.5114
13779,337000,-2497.343
13821,338000,-2519.8369
13863,339000,-2496.8479
13904,340000,-2497.5842
13947,341000,-2455.2353
13988,342000,-2544.9206
14029,343000,-2548.1963
14070,344000,-2515.1989
14112,345000,-2526.2342
14153,346000,-2523.3371
14195,347000,-2471.9842
14236,348000,-2529.7023
14279,349000,-2455.3689
14320,350000,-2547.6325
14361,351000,-2508.8527
14403,352000,-2520.0938
14444,353000,-2522.2539
14486,354000,-2495.9331
14528,355000,-2504.5654
14569,356000,-2525.148
14610,357000,-2526.396
14652,358000,-2493.8767
14694,359000,-2500.5766
14736,360000,-2493.2349
14777,361000,-2526.2166
14819,362000,-2514.2439
14860,363000,-2528.4591
14902,364000,-2485.609
14943,365000,-2513.1153
14985,366000,-2495.0149
15027,367000,-2472.623
15069,368000,-2503.5964
15111,369000,-2484.0737
15153,370000,-2483.0382
15195,371000,-2477.4597
15237,372000,-2521.1301
15278,373000,-2510.6679
15320,374000,-2491.0807
15362,375000,-2516.4634
15404,376000,-2478.6411
15445,377000,-2514.083
15487,378000,-2509.8137
15529,379000,-2476.1397
15571,380000,-2483.6135
15613,381000,-2492.757
15654,382000,-2538.9071
15696,383000,-2500.406
15737,384000,-2517.2244
15779,385000,-2489.8801
15820,386000,-2524.2456
15862,387000,-2511.323
15903,388000,-2518.0305
15946,389000,-2481.3076
15986,390000,-2552.0712
16029,391000,-2472.4442
16070,392000,-2531.4738
16112,393000,-2501.1228
16154,394000,-2453.3609
16196,395000,-2502.6391
16237,396000,-2516.9838
16279,397000,-2523.6348
16320,398000,-2510.3751
16362,399000,-2477.3169
16404,400000,-2491.9429
16447,401000,-2462.8062
16488,402000,-2542.2765
16529,403000,-2508.0306
16571,404000,-2493.199
16612,405000,-2579.5436
16653,406000,-2494.9446
16695,407000,-2533.9193
16736,408000,-2525.393
16778,409000,-2469.7574
16819,410000,-2539.2011
16861,411000,-2501.285
16904,412000,-2453.1877
16945,413000,-2524.3324
16986,414000,-2522.2508
17027,415000,-2525.819
17069,416000,-2511.9534
17110,417000,-2521.7198
17152,418000,-2516.3584
17193,419000,-2526.8211
17235,420000,-2512.9776
17276,421000,-2511.9181
17318,422000,-2483.3286
17360,423000,-2493.4953
17402,424000,-2514.9509
17443,425000,-2514.4729
17485,426000,-2501.0998
17526,427000,-2515.0068
17568,428000,-2499.3256
17610,429000,-2521.3207
17651,430000,-2490.4
17693,431000,-2504.388
17735,432000,-2507.5258
17776,433000,-2510.2992
17818,434000,-2512.065
17860,435000,-2512.6543
17900,436000,-2551.3269
17942,437000,-2517.3701
17983,438000,-2537.0929
18024,439000,-2526.0358
18065,440000,-2542.264
18106,441000,-2538.599
18149,442000,-2468.4678
18191,443000,-2491.2385
18232,444000,-2511.0121
18274,445000,-2520.9991
18315,446000,-2491.8574
18357,447000,-2533.0551
18398,448000,-2493.6807
18440,449000,-2486.2125
18482,450000,-2490.249
18524,451000,-2490.9544
18566,452000,-2521.1673
18606,453000,-2566.8048
18648,454000,-2530.1427
18690,455000,-2470.4578
18731,456000,-2514.3069
18773,457000,-2516.5359
18814,458000,-2531.5781
18855,459000,-2528.1267
18897,460000,-2526.3199
18939,461000,-2470.9706
18980,462000,-2519.5955
19022,463000,-2496.5834
19064,464000,-2479.4437
19106,465000,-2498.7538
19147,466000,-2542.0273
19189,467000,-2486.0348
19231,468000,-2503.0979
19272,469000,-2528.513
19314,470000,-2504.2571
19355,471000,-2541.8685
19396,472000,-2504.7585
19438,473000,-2495.7777
19480,474000,-2472.7017
19523,475000,-2465.7414
19564,476000,-2533.6299
19605,477000,-2513.2011
19647,478000,-2478.3969
19689,479000,-2543.0827
19729,480000,-2555.0338
19770,481000,-2536.8164
19812,482000,-2522.3093
19854,483000,-2499.9473
19895,484000,-2505.1721
19938,485000,-2467.5589
19979,486000,-2509.213
20020,487000,-2546.5762
20062,488000,-2494.8377
20103,489000,-2519.4387
20145,490000,-2494.1148
20187,491000,-2513.2963
20228,492000,-2517.1781
20270,493000,-2510.9912
20311,494000,-2546.6147
20352,495000,-2527.9325
20394,496000,-2464.9603
20436,497000,-2502.9509
20477,498000,-2519.8391
20519,499000,-2487.6685
20562,500000,-2477.4759
20603,501000,-2509.9805
20645,502000,-2518.9124
20687,503000,-2485.1472
20728,504000,-2508.3129
20770,505000,-2482.7111
20811,506000,-2539.5759
20853,507000,-2515.8706
20894,508000,-2548.0826
20935,509000,-2508.7518
20977,510000,-2478.4265
21019,511000,-2517.518
21059,512000,-2574.1055
21101,513000,-2503.2439
21143,514000,-2514.0978
21185,515000,-2484.9563
21226,516000,-2524.8448
21267,517000,-2513.8604
21309,518000,-2540.7917
21350,519000,-2507.0723
21392,520000,-2473.0814
21435,521000,-2460.2218
21476,522000,-2508.7335
21518,523000,-2495.6299
21560,524000,-2499.1862
21602,525000,-2510.9777
21644,526000,-2463.5343
21687,527000,-2454.2375
21728,528000,-2498.7114
21770,529000,-2503.7595
21812,530000,-2500.9509
21853,531000,-2502.0467
21894,532000,-2559.3179
21936,533000,-2499.626
21978,534000,-2504.0665
22020,535000,-2462.6245
22061,536000,-2535.1024
22103,537000,-2505.7041
22144,538000,-2513.0019
22187,539000,-2475.4938
22228,540000,-2531.6335
22270,541000,-2497.9172
22311,542000,-2502.252
22353,543000,-2489.5779
22395,544000,-2515.2652
22437,545000,-2490.2004
22479,546000,-2485.284
22520,547000,-2500.9476
22562,548000,-2476.8344
22604,549000,-2510.9581
22646,550000,-2501.0431
22687,551000,-2499.6465
22730,552000,-2475.568
22771,553000,-2522.1598
22813,554000,-2463.4303
22855,555000,-2522.0887
22896,556000,-2522.3946
22939,557000,-2465.2971
22980,558000,-2510.4483
23021,559000,-2525.0437
23063,560000,-2494.9754
23105,561000,-2492.3227
23147,562000,-2516.3278
23188,563000,-2530.6472
23229,564000,-2525.9316
23271,565000,-2508.4331
23313,566000,-2495.7011
23354,567000,-2506.8923
23396,568000,-2477.6871
23437,569000,-2541.3009
23479,570000,-2504.4492
23522,571000,-2457.9378
23563,572000,-2515.5223
23604,573000,-2531.3793
23646,574000,-2492.251
23688,575000,-2514.3574
23729,576000,-2494.7898
23771,577000,-2506.2601
23813,578000,-2502.283
23854,579000,-2546.2075
23895,580000,-2531.2307
23937,581000,-2501.2767
23977,582000,-2554.236
24019,583000,-2518.6515
24061,584000,-2506.7944
24102,585000,-2515.0689
24144,586000,-2503.2098
24185,587000,-2544.2122
24226,588000,-2499.8287
24268,589000,-2496.7974
24310,590000,-2502.2867
24351,591000,-2548.2943
24392,592000,-2518.4571
24433,593000,-2561.9018
24474,594000,-2523.5361
24517,595000,-2472.463
24558,596000,-2526.3382
24599,597000,-2526.3137
24641,598000,-2494.3943
24682,599000,-2524.2414
24724,600000,-2528.8715
24765,601000,-2537.4967
24806,602000,-2513.6255
24848,603000,-2521.7789
24890,604000,-2480.7895
24932,605000,-2470.9058
24973,606000,-2519.1269
25015,607000,-2507.3268
25056,608000,-2518.6991
25098,609000,-2489.7889
25140,610000,-2530.4143
25181,611000,-2499.4828
25223,612000,-2506.1407
25264,613000,-2531.7328
25305,614000,-2529.493
25347,615000,-2517.4637
25388,616000,-2518.3311
25430,617000,-2511.452
25471,618000,-2522.1435
25513,619000,-2505.3351
25555,620000,-2498.2294
25595,621000,-2555.3845
25637,622000,-2525.0394
25678,623000,-2532.1559
25720,624000,-2515.4204
25761,625000,-2501.1367
25803,626000,-2519.7669
25844,627000,-2530.3449
25886,628000,-2487.3584
25928,629000,-2497.0252
25970,630000,-2495.4628
26011,631000,-2494.0954
26053,632000,-2489.85
26095,633000,-2496.5742
26136,634000,-2537.4524
26178,635000,-2493.0875
26220,636000,-2507.7469
26262,637000,-2471.8297
26303,638000,-2506.1385
26345,639000,-2536.2433
26386,640000,-2523.8852
26427,641000,-2515.1833
26469,642000,-2495.6984
26511,643000,-2474.6715
26554,644000,-2464.0864
26596,645000,-2484.7067
26637,646000,-2506.1863
26679,647000,-2521.2342
26721,648000,-2469.7443
26762,649000,-2542.4168
26804,650000,-2514.0077
26845,651000,-2499.9637
26887,652000,-2487.9432
26929,653000,-2526.8901
26971,654000,-2489.6489
27012,655000,-2528.8227
27054,656000,-2469.4311
27096,657000,-2519.5318
27138,658000,-2480.4556
27179,659000,-2507.7876
27221,660000,-2524.228
27262,661000,-2498.1476
27303,662000,-2543.473
27345,663000,-2477.8726
27387,664000,-2506.802
27429,665000,-2497.9291
27470,666000,-2506.8942
27512,667000,-2512.1129
27553,668000,-2532.2526
27594,669000,-2564.757
27636,670000,-2495.5535
27677,671000,-2513.6942
27719,672000,-2524.1368
27761,673000,-2487.884
27802,674000,-2487.561
27843,675000,-2543.5095
27885,676000,-2535.3824
27927,677000,-2488.8946
