episode,timestep,reward
41,1000,-18.9626
88,2000,-13.5603
133,3000,-10.9275
176,4000,-13.6815
223,5000,-11.6717
263,6000,-6.7935
309,7000,-8.1091
356,8000,-8.2172
397,9000,-9.5736
433,10000,-15.768
482,11000,-4.9214
524,12000,-5.1303
570,13000,-5.0638
620,14000,-3.2732
669,15000,-4.2343
716,16000,-5.2728
754,17000,-7.4297
804,18000,-4.7028
847,19000,-4.1077
892,20000,-2.7719
943,21000,-2.0485
988,22000,-2.7485
1030,23000,-3.1056
1077,24000,-2.1637
1122,25000,-3.1802
1168,26000,-5.813
1218,27000,-2.9038
1265,28000,-2.4146
1313,29000,-3.7955
1367,30000,-1.7679
1416,31000,-1.8396
1455,32000,-2.9537
1503,33000,-2.0898
1553,34000,-1.8921
1597,35000,-2.1613
1647,36000,-1.8396
1692,37000,-1.7458
1744,38000,-1.7082
1782,39000,-1.989
1831,40000,-1.6989
1870,41000,-1.8793
1920,42000,-1.6857
1964,43000,-1.8207
2006,44000,-1.7494
2052,45000,-1.6346
2098,46000,-1.6357
2134,47000,-1.6438
2181,48000,-1.5966
2225,49000,-1.6177
2269,50000,-1.5338
2314,51000,-1.5984
2347,52000,-1.6712
2391,53000,-1.6262
2436,54000,-1.6476
2484,55000,-1.5852
2530,56000,-1.5473
2571,57000,-1.553
2612,58000,-1.5656
2655,59000,-1.5468
2699,60000,-1.4868
2744,61000,-1.6003
2792,62000,-1.5646
2828,63000,-1.6068
2867,64000,-1.6343
2909,65000,-1.6368
2951,66000,-1.596
2996,67000,-1.6259
3041,68000,-1.5658
3087,69000,-1.5603
3120,70000,-1.6153
3167,71000,-1.5664
3199,72000,-1.615
3237,73000,-1.637
3282,74000,-1.5521
3330,75000,-1.4852
3371,76000,-1.5288
3414,77000,-1.6042
3453,78000,-1.5783
3501,79000,-1.4833
3545,80000,-1.5433
3589,81000,-1.5169
3629,82000,-1.5937
3668,83000,-1.5745
3713,84000,-1.5513
3755,85000,-1.5016
3794,86000,-1.5982
3834,87000,-1.5763
3880,88000,-1.5386
3928,89000,-1.5475
3970,90000,-1.6335
4019,91000,-1.5466
4057,92000,-1.6619
4097,93000,-1.6012
4143,94000,-1.5619
4184,95000,-1.5692
4229,96000,-1.5212
4265,97000,-1.5936
4317,98000,-1.5762
4358,99000,-1.5953
4402,100000,-1.5703
4447,101000,-1.5736
4493,102000,-1.5462
4540,103000,-1.5871
4585,104000,-1.6098
4632,105000,-1.4761
4677,106000,-1.5725
4719,107000,-1.6183
4768,108000,-1.5773
4809,109000,-1.6064
4854,110000,-1.5421
4898,111000,-1.6145
4940,112000,-1.588
4982,113000,-1.5712
5019,114000,-1.597
5068,115000,-1.512
5117,116000,-1.5197
5155,117000,-1.6224
5198,118000,-1.5876
5245,119000,-1.5205
5290,120000,-1.6082
5336,121000,-1.5606
5382,122000,-1.5539
5434,123000,-1.5533
5479,124000,-1.6302
5522,125000,-1.6088
5565,126000,-1.5778
5606,127000,-1.5976
5653,128000,-1.5539
5693,129000,-1.5955
5738,130000,-1.6256
5788,131000,-1.5459
5831,132000,-1.559
5866,133000,-1.5327
5905,134000,-1.6392
5953,135000,-1.5531
6001,136000,-1.4981
6047,137000,-1.5421
6094,138000,-1.543
6135,139000,-1.5793
6180,140000,-1.6532
6220,141000,-1.629
6267,142000,-1.5799
6312,143000,-1.5948
6355,144000,-1.5285
6409,145000,-1.5011
6449,146000,-1.5922
6495,147000,-1.5811
6539,148000,-1.5907
6587,149000,-1.6363
6636,150000,-1.5563
6678,151000,-1.4893
6712,152000,-1.6225
6750,153000,-1.6313
6787,154000,-1.6446
6828,155000,-1.5719
6867,156000,-1.6038
6913,157000,-1.5607
6949,158000,-1.635
6997,159000,-1.5682
7045,160000,-1.5563
7094,161000,-1.5128
7137,162000,-1.5783
7189,163000,-1.4605
7236,164000,-1.5655
7269,165000,-1.692
7312,166000,-1.5642
7358,167000,-1.5361
7405,168000,-1.5459
7447,169000,-1.5678
7482,170000,-1.5923
7517,171000,-1.5798
7564,172000,-1.5444
7606,173000,-1.579
7647,174000,-1.6197
7688,175000,-1.589
7728,176000,-1.5782
7775,177000,-1.537
7811,178000,-1.5494
7851,179000,-1.6408
7895,180000,-1.5429
7938,181000,-1.5467
7986,182000,-1.5561
8032,183000,-1.5348
8070,184000,-1.5653
8116,185000,-1.5017
8170,186000,-1.5091
8210,187000,-1.6172
8256,188000,-1.643
8299,189000,-1.5318
8344,190000,-1.4985
8386,191000,-1.5767
8427,192000,-1.601
8468,193000,-1.6113
8516,194000,-1.5316
8559,195000,-1.502
8595,196000,-1.6546
8644,197000,-1.5261
8686,198000,-1.554
8725,199000,-1.5697
8767,200000,-1.544
8810,201000,-1.5692
8852,202000,-1.5925
8894,203000,-1.6362
8942,204000,-1.599
8984,205000,-1.5407
9027,206000,-1.5241
9073,207000,-1.6259
9118,208000,-1.5629
9167,209000,-1.5065
9209,210000,-1.5042
9249,211000,-1.5485
9293,212000,-1.5804
9342,213000,-1.5296
9394,214000,-1.4928
9441,215000,-1.5425
9480,216000,-1.5863
9524,217000,-1.5827
9564,218000,-1.5364
9606,219000,-1.5648
9646,220000,-1.6158
9682,221000,-1.5577
9721,222000,-1.5502
9756,223000,-1.5737
9791,224000,-1.6247
9835,225000,-1.5658
9880,226000,-1.5604
9923,227000,-1.5707
9969,228000,-1.5439
10012,229000,-1.5334
10053,230000,-1.5548
10101,231000,-1.5017
10148,232000,-1.4943
10189,233000,-1.6201
10236,234000,-1.5348
10281,235000,-1.5694
10326,236000,-1.5631
10373,237000,-1.5552
10412,238000,-1.606
10464,239000,-1.5025
10515,240000,-1.4825
10561,241000,-1.52
10602,242000,-1.5543
10643,243000,-1.5384
10689,244000,-1.5614
10729,245000,-1.5537
10775,246000,-1.5937
10824,247000,-1.6171
